Name,Surname,Birthday,RelativeType
Graham,Blair,02.08.18,Cousin
Ava,Stanton,03.07.19,Cousin
Emerald,Robles,21.10.19,Aunt
Cheyenne,Sparks,02.05.20,Sister
Len,Rutledge,03.01.19,Aunt
Edan,Whitfield,16.09.19,Aunt
Rahim,Benjamin,26.05.19,Cousin
Orlando,Allen,28.07.19,Aunt
Minerva,Garza,22.05.19,Brother
Ronan,Chapman,22.09.19,Cousin
Jacqueline,Stanton,30.01.19,Cousin
Gannon,Zamora,13.09.19,Aunt
Nissim,Rios,03.09.18,Sister
Boris,Lamb,14.01.20,Brother
Fitzgerald,Berger,28.11.18,Cousin
Aretha,Tran,03.03.20,Uncle
Hamish,Atkins,06.11.19,Uncle
Karleigh,Mills,22.07.19,Aunt
Grant,Estes,19.05.18,Cousin
Sarah,Melendez,16.07.19,Sister
Christine,Rivera,23.07.19,Cousin
Isadora,Gibson,20.06.19,Cousin
Germaine,Hobbs,27.03.20,Brother
Aline,Dorsey,24.10.18,Cousin
Lana,Harrell,01.04.19,Sister
Chester,Mcknight,29.11.18,Sister
Adam,Mcconnell,14.11.19,Aunt
Galvin,Marshall,04.11.18,Brother
Kaseem,Hickman,12.11.18,Aunt
Murphy,Patterson,15.09.18,Sister
Lance,Austin,04.03.20,Uncle
Asher,Solis,28.08.18,Brother
Anastasia,Jacobs,10.12.18,Sister
Dacey,Bonner,30.11.19,Cousin
Elmo,Ward,01.02.20,Sister
Rowan,Williamson,19.05.18,Cousin
Nissim,Mack,27.07.19,Sister
Regina,Stout,10.02.19,Uncle
Ina,Todd,14.03.19,Sister
India,Graves,04.06.18,Aunt
Edward,Hurst,11.10.18,Brother
Casey,Hogan,21.07.18,Aunt
Amery,Byers,24.03.19,Sister
Cruz,Douglas,15.12.18,Cousin
Portia,Moreno,14.01.20,Brother
Amos,Carver,21.03.19,Uncle
Petra,Fuentes,02.04.19,Brother
Cora,James,16.03.19,Uncle
Shelby,Delacruz,25.03.20,Aunt
Yardley,Norton,02.03.19,Brother
Laith,Hamilton,01.12.19,Uncle
Kenyon,Dodson,05.06.19,Uncle
Steel,Kent,23.12.18,Aunt
Lani,Vang,29.09.19,Sister
Germane,Carver,06.01.19,Aunt
Justine,Lucas,03.01.20,Uncle
Dennis,Bradshaw,29.03.20,Uncle
Beau,Rodriguez,30.06.18,Cousin
Stewart,Hampton,23.04.19,Aunt
Gregory,Small,11.07.18,Cousin
Aurora,Beck,13.07.18,Uncle
Hanae,Bernard,22.07.18,Uncle
Marsden,Schultz,14.01.20,Brother
Malachi,Ingram,10.11.18,Cousin
Athena,Barnes,31.10.18,Sister
Timothy,Hancock,07.03.19,Aunt
Lester,Beck,02.04.19,Uncle
Dorian,Foley,12.02.19,Aunt
Fiona,Adkins,10.07.18,Brother
Tiger,Doyle,09.08.19,Brother
Rhiannon,Kirkland,27.11.19,Aunt
Ross,Hinton,04.09.18,Sister
Erica,Chan,05.03.20,Cousin
Anjolie,Greene,12.12.18,Aunt
Sydnee,Adams,07.12.19,Brother
Lance,Madden,19.02.19,Uncle
Tiger,Paul,16.07.18,Brother
Orson,Richards,15.12.18,Aunt
Carol,Ewing,23.09.18,Uncle
Laurel,Serrano,21.03.20,Cousin
Nita,Hernandez,02.04.19,Sister
Vivien,May,07.03.20,Aunt
Palmer,Pena,23.06.19,Uncle
Kimberley,Stanley,04.11.19,Cousin
Abigail,Johnston,21.07.18,Sister
Dennis,Rush,20.09.18,Cousin
Julie,Holman,17.08.18,Sister
Kai,Floyd,07.12.18,Cousin
Chaim,Marshall,28.06.19,Uncle
Willow,Moses,10.10.18,Brother
Haley,French,02.03.19,Brother
Davis,Harrell,25.10.19,Uncle
Urielle,Byers,27.10.18,Uncle
Wade,Mcdowell,14.05.18,Uncle
Felix,Holder,05.07.19,Brother
Lionel,Bartlett,24.03.19,Cousin
Quail,Mcfadden,07.11.19,Aunt
Pearl,Sharp,17.03.20,Cousin
Colorado,Bentley,30.12.19,Cousin
Margaret,Beach,27.06.18,Uncle
